1,1,2012-04-29,WC1,SAS,,UTA,1,W (+15),1,20:11,2,5,.400,0,3,.000,2,2,1.000,0,2,2,1,2,0,0,1,6,6.2,+7
2,2,2012-05-02,WC1,SAS,,UTA,2,W (+31),1,24:43,6,7,.857,3,4,.750,2,2,1.000,0,3,3,1,2,0,1,3,17,15.9,+36
3,3,2012-05-05,WC1,SAS,@,UTA,3,W (+12),1,14:51,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,1,2,1.2,0
4,4,2012-05-07,WC1,SAS,@,UTA,4,W (+6),1,20:06,1,7,.143,1,2,.500,0,0,,1,4,5,0,0,0,1,3,3,-1.8,-6
5,5,2012-05-15,WCS,SAS,,LAC,1,W (+16),1,28:30,5,8,.625,3,3,1.000,3,4,.750,3,3,6,1,3,1,2,1,16,17.0,+9
6,6,2012-05-17,WCS,SAS,,LAC,2,W (+17),1,25:37,2,5,.400,0,2,.000,1,2,.500,1,5,6,0,2,1,1,1,5,5.4,+20
7,7,2012-05-19,WCS,SAS,@,LAC,3,W (+10),1,37:10,5,7,.714,3,5,.600,1,1,1.000,1,8,9,1,2,1,1,2,14,15.8,+4
8,8,2012-05-20,WCS,SAS,@,LAC,4,W (+3),1,23:31,2,5,.400,0,2,.000,1,1,1.000,1,4,5,1,1,0,0,2,5,5.1,+1
9,9,2012-05-27,WCF,SAS,,OKC,1,W (+3),1,25:09,3,9,.333,1,3,.333,0,0,,4,3,7,0,1,0,2,1,7,4.2,-16
10,10,2012-05-29,WCF,SAS,,OKC,2,W (+9),1,35:21,7,12,.583,3,6,.500,1,1,1.000,2,8,10,0,1,2,1,1,18,17.2,+9
11,11,2012-05-31,WCF,SAS,@,OKC,3,L (-20),1,14:36,1,3,.333,0,1,.000,0,1,.000,1,5,6,0,0,1,0,1,2,2.4,-11
12,12,2012-06-02,WCF,SAS,@,OKC,4,L (-6),1,32:40,7,8,.875,3,4,.750,0,0,,1,8,9,0,1,0,2,1,17,15.9,-12
13,13,2012-06-04,WCF,SAS,,OKC,5,L (-5),1,35:47,1,4,.250,0,1,.000,2,2,1.000,0,10,10,2,1,0,1,2,4,5.2,-2
14,14,2012-06-06,WCF,SAS,@,OKC,6,L (-8),1,40:43,2,7,.286,1,3,.333,0,0,,2,0,2,1,1,0,1,3,5,1.8,-6
15,1,2013-04-21,WC1,SAS,,LAL,1,W (+12),1,35:36,3,8,.375,1,3,.333,1,1,1.000,2,9,11,2,2,2,1,3,8,10.3,+7
16,2,2013-04-24,WC1,SAS,,LAL,2,W (+11),1,39:19,8,12,.667,0,2,.000,0,0,,1,6,7,0,0,1,1,1,16,12.6,+10
